"Aaden"	["Red Sox", 47, 18]
"Emmanuel"	["Cardinals", 17, 39]
"Emmett"	["Red Sox", 62, 17]
"Emmitt"	["Cardinals", 28, 53]
"Emmy"	["Red Sox", 54, 31]
"Emory"	["Red Sox", 45, 33]
"Enrique"	["Cardinals", 27, 56]
"Enzo"	["Cardinals", 24, 44]
"Eric"	["Red Sox", 51, 26]
"Erica"	["Red Sox", 42, 37]
"Erick"	["Red Sox", 47, 32]
"Erik"	["Cardinals", 32, 49]
"Erika"	["Cardinals", 26, 44]
"Erin"	["Red Sox", 43, 29]
"Ernest"	["Cardinals", 39, 44]
"Ernesto"	["Cardinals", 24, 61]
"Esme"	["Red Sox", 45, 25]
"Esmeralda"	["Cardinals", 27, 50]
"Esteban"	["Red Sox", 52, 29]
"Estella"	["Red Sox", 41, 28]
"Estelle"	["Red Sox", 53, 39]
"Esther"	["Cardinals", 33, 44]
"Estrella"	["Red Sox", 41, 26]
"Ethan"	["Red Sox", 44, 21]
"Eugene"	["Cardinals", 28, 51]
"Eva"	["Red Sox", 54, 29]
"Evalyn"	["Cardinals", 26, 50]
"Evan"	["Cardinals", 31, 36]
"Evangeline"	["Cardinals", 25, 56]
"Eve"	["Red Sox", 62, 32]
"Evelyn"	["Red Sox", 54, 23]
"Evelynn"	["Red Sox", 57, 25]
"Everett"	["Cardinals", 36, 53]
"Everly"	["Cardinals", 28, 41]
"Evie"	["Red Sox", 39, 35]
"Ezekiel"	["Cardinals", 27, 56]
"Ezequiel"	["Red Sox", 47, 32]
"Ezra"	["Cardinals", 35, 45]
"Fabian"	["Cardinals", 23, 48]
"Faith"	["Cardinals", 35, 36]
"Farrah"	["Red Sox", 48, 36]
"Fatima"	["Cardinals", 28, 46]
"Felicity"	["Cardinals", 26, 51]
"Felipe"	["Red Sox", 51, 37]
"Felix"	["Cardinals", 23, 41]
"Fernanda"	["Cardinals", 18, 51]
"Fernando"	["Cardinals", 29, 52]
"Finley"	["Red Sox", 45, 22]
"Finn"	["Red Sox", 39, 35]
"Finnegan"	["Red Sox", 59, 42]
"Fiona"	["Red Sox", 59, 31]
"Fisher"	["Cardinals", 32, 50]
"Fletcher"	["Cardinals", 28, 52]
"Flynn"	["Red Sox", 53, 21]
"Foster"	["Cardinals", 38, 40]
"Frances"	["Red Sox", 49, 21]
"Francesca"	["Cardinals", 26, 51]
"Francis"	["Cardinals", 28, 54]
"Francisco"	["Red Sox", 47, 28]
"Franco"	["Cardinals", 36, 48]
"Frank"	["Red Sox", 48, 33]
"Frankie"	["Red Sox", 54, 33]
"Franklin"	["Red Sox", 51, 33]
"Freddy"	["Cardinals", 36, 43]
"Frederick"	["Cardinals", 28, 38]
"Gabriel"	["Red Sox", 41, 33]
"Gabriela"	["Red Sox", 54, 30]
"Gabriella"	["Cardinals", 30, 38]
"Gabrielle"	["Red Sox", 44, 25]
"Gael"	["Red Sox", 46, 26]
"Gage"	["Cardinals", 33, 40]
"Gaige"	["Red Sox", 43, 29]
"Galilea"	["Cardinals", 43, 66]
"Garrett"	["Cardinals", 37, 44]
"Gary"	["Red Sox", 57, 30]
"Gauge"	["Cardinals", 23, 43]
"Gavin"	["Red Sox", 47, 34]
"Gavyn"	["Red Sox", 48, 28]
"Gemma"	["Cardinals", 29, 53]
"Genesis"	["Red Sox", 58, 27]
"Genevieve"	["Red Sox", 41, 29]
"George"	["Red Sox", 44, 27]
"Georgia"	["Red Sox", 34, 28]
"Gerald"	["Red Sox", 54, 29]
"Geraldine"	["Red Sox", 48, 24]
"Gerardo"	["Red Sox", 37, 28]
"Gia"	["Red Sox", 49, 22]
"Giada"	["Red Sox", 55, 27]
"Giana"	["Red Sox", 52, 24]
"Giancarlo"	["Cardinals", 33, 45]
"Gianna"	["Red Sox", 44, 26]
"Gianni"	["Cardinals", 25, 52]
"Gibson"	["Red Sox", 51, 26]
"Gideon"	["Red Sox", 54, 24]
"Gilbert"	["Red Sox", 46, 33]
"Gilberto"	["Red Sox", 62, 38]
"Giovani"	["Cardinals", 25, 59]
"Giovanna"	["Red Sox", 40, 21]
"Giovanni"	["Red Sox", 54, 33]
"Giovanny"	["Red Sox", 53, 23]
"Giselle"	["Red Sox", 44, 30]
"Gisselle"	["Cardinals", 22, 44]
"Giuliana"	["Red Sox", 39, 26]
"Gloria"	["Red Sox", 58, 30]
"Grace"	["Red Sox", 41, 28]
"Gracelyn"	["Cardinals", 16, 58]
"Gracelynn"	["Red Sox", 54, 36]
"Gracie"	["Red Sox", 51, 29]
"Grady"	["Cardinals", 18, 52]
"Graeme"	["Cardinals", 39, 46]
"Graham"	["Cardinals", 20, 54]
"Grant"	["Red Sox", 52, 27]
"Graysen"	["Cardinals", 39, 49]
"Grayson"	["Red Sox", 50, 35]
"Gregory"	["Cardinals", 39, 41]
"Greta"	["Red Sox", 45, 33]
"Greyson"	["Cardinals", 33, 33]
"Griffin"	["Cardinals", 31, 53]
"Guadalupe"	["Cardinals", 28, 53]
"Guillermo"	["Cardinals", 31, 49]
"Gunnar"	["Red Sox", 36, 31]
"Gunner"	["Red Sox", 54, 28]
"Gustavo"	["Cardinals", 33, 47]
"Gwendolyn"	["Red Sox", 48, 32]
"Hadassah"	["Cardinals", 27, 55]
"Hadley"	["Red Sox", 51, 14]
"Hailee"	["Cardinals", 31, 52]
"Hailey"	["Cardinals", 37, 54]
"Haleigh"	["Red Sox", 47, 29]
"Haley"	["Cardinals", 30, 43]
"Halle"	["Cardinals", 31, 43]
"Hallie"	["Cardinals", 23, 53]
"Hamza"	["Cardinals", 23, 53]
"Hana"	["Cardinals", 23, 54]
"Hank"	["Red Sox", 55, 24]
"Hanna"	["Cardinals", 28, 47]
"Hannah"	["Red Sox", 45, 30]
"Harlee"	["Red Sox", 37, 36]
"Harley"	["Cardinals", 27, 61]
"Harlow"	["Cardinals", 26, 41]
"Harmony"	["Red Sox", 34, 28]
"Harold"	["Cardinals", 43, 53]
"Harper"	["Red Sox", 47, 31]
"Harrison"	["Cardinals", 27, 49]
"Harry"	["Cardinals", 27, 52]
"Harvey"	["Red Sox", 50, 28]
"Hassan"	["Cardinals", 35, 53]
"Hattie"	["Red Sox", 48, 25]
"Haven"	["Cardinals", 27, 46]
"Hayden"	["Cardinals", 27, 55]
"Hayes"	["Cardinals", 35, 48]
"Haylee"	["Red Sox", 41, 28]
"Hayleigh"	["Red Sox", 52, 26]
"Hayley"	["Red Sox", 42, 34]
"Haylie"	["Red Sox", 55, 34]
"Hazel"	["Cardinals", 36, 41]
"Heath"	["Red Sox", 46, 25]
"Heather"	["Cardinals", 27, 63]
"Heaven"	["Cardinals", 39, 43]
"Hector"	["Red Sox", 49, 25]
"Heidi"	["Cardinals", 35, 47]
"Helen"	["Red Sox", 58, 23]
"Helena"	["Red Sox", 53, 30]
"Hendrix"	["Cardinals", 19, 49]
"Henry"	["Red Sox", 49, 33]
"Hezekiah"	["Red Sox", 49, 36]
"Holden"	["Cardinals", 29, 44]
"Holly"	["Cardinals", 31, 52]
"Hope"	["Red Sox", 45, 29]
"Houston"	["Red Sox", 41, 27]
"Howard"	["Red Sox", 58, 33]
"Hudson"	["Cardinals", 35, 48]
"Hugh"	["Red Sox", 48, 31]
"Hugo"	["Cardinals", 30, 48]
"Hunter"	["Red Sox", 58, 21]
"Ian"	["Red Sox", 55, 29]
"Ibrahim"	["Red Sox", 34, 37]
"Ignacio"	["Cardinals", 24, 57]
"Iker"	["Cardinals", 30, 45]
"Iliana"	["Red Sox", 46, 29]
"Imani"	["Cardinals", 25, 53]
"Immanuel"	["Red Sox", 55, 34]
"Ingrid"	["Red Sox", 45, 23]
"Irene"	["Cardinals", 33, 43]
"Iris"	["Red Sox", 49, 20]
"Isaac"	["Cardinals", 13, 55]
"Isabel"	["Cardinals", 30, 47]
"Isabela"	["Red Sox", 51, 28]
"Isabella"	["Red Sox", 56, 30]
"Isabelle"	["Cardinals", 42, 46]
"Isai"	["Red Sox", 48, 30]
"Isaiah"	["Cardinals", 38, 50]
"Isaias"	["Cardinals", 28, 46]
"Ishaan"	["Red Sox", 47, 38]
"Isiah"	["Cardinals", 20, 50]
"Isis"	["Red Sox", 50, 34]
"Isla"	["Cardinals", 27, 52]
"Ismael"	["Red Sox", 51, 23]
"Israel"	["Red Sox", 43, 26]
"Issac"	["Red Sox", 57, 33]
"Itzel"	["Red Sox", 40, 28]
"Ivan"	["Red Sox", 47, 25]
"Ivanna"	["Red Sox", 47, 30]
"Ivy"	["Cardinals", 26, 50]
"Izabella"	["Red Sox", 52, 25]
"Izabelle"	["Red Sox", 44, 32]
"Izaiah"	["Cardinals", 26, 40]
"Izayah"	["Red Sox", 48, 34]
"Jabari"	["Red Sox", 44, 39]
"Jace"	["Red Sox", 50, 42]
"Jack"	["Red Sox", 63, 36]
"Jackson"	["Red Sox", 42, 34]
"Jacob"	["Cardinals", 35, 48]
"Jacoby"	["Red Sox", 42, 37]
"Jacqueline"	["Red Sox", 57, 40]
"Jada"	["Cardinals", 27, 58]
"Jade"	["Cardinals", 31, 43]
"Jaden"	["Cardinals", 37, 43]
"Jadiel"	["Red Sox", 56, 34]
"Jadon"	["Red Sox", 57, 25]
"Jaeden"	["Cardinals", 19, 49]
"Jael"	["Red Sox", 47, 28]
"Jaelyn"	["Red Sox", 51, 28]
"Jaelynn"	["Red Sox", 65, 31]
"Jagger"	["Red Sox", 49, 28]
"Jaida"	["Red Sox", 46, 25]
"Jaiden"	["Cardinals", 24, 40]
"Jaidyn"	["Cardinals", 27, 57]
"Jaime"	["Cardinals", 32, 50]
"Jairo"	["Red Sox", 45, 25]
"Jakayla"	["Red Sox", 56, 21]
"Jake"	["Red Sox", 57, 30]
"Jakob"	["Red Sox", 41, 16]
"Jalen"	["Cardinals", 29, 49]
"Jaliyah"	["Red Sox", 49, 27]
"Jamal"	["Red Sox", 44, 28]
"Jamar"	["Red Sox", 45, 35]
"Jamari"	["Red Sox", 48, 18]
"Jamarion"	["Cardinals", 34, 56]
"James"	["Red Sox", 40, 28]
"Jameson"	["Red Sox", 56, 30]
"Jamie"	["Cardinals", 29, 45]
"Jamir"	["Red Sox", 46, 33]
"Jamison"	["Cardinals", 23, 51]
"Janae"	["Cardinals", 36, 53]
"Jane"	["Red Sox", 53, 28]
"Janelle"	["Red Sox", 42, 37]
"Janessa"	["Cardinals", 34, 31]
"Janiya"	["Cardinals", 28, 48]
"Janiyah"	["Red Sox", 48, 31]
"Jaqueline"	["Cardinals", 26, 50]
"Jared"	["Red Sox", 51, 27]
"Jarrett"	["Cardinals", 29, 51]
"Jase"	["Red Sox", 51, 31]
"Jasiah"	["Red Sox", 62, 25]
"Jasmin"	["Cardinals", 34, 52]
"Jasmine"	["Red Sox", 54, 29]
"Jason"	["Red Sox", 58, 23]
"Jasper"	["Red Sox", 54, 33]
"Javier"	["Red Sox", 57, 29]
"Javion"	["Red Sox", 51, 30]
"Javon"	["Cardinals", 36, 51]
"Jax"	["Red Sox", 45, 24]
"Jaxen"	["Cardinals", 30, 42]
"Jaxon"	["Red Sox", 42, 31]
"Jaxson"	["Red Sox", 49, 26]
"Jaxton"	["Red Sox", 55, 25]
"Jay"	["Cardinals", 23, 56]
"Jayce"	["Cardinals", 25, 42]
"Jaycee"	["Cardinals", 34, 60]
"Jaycob"	["Cardinals", 31, 62]
"Jayda"	["Red Sox", 45, 29]
"Jayde"	["Cardinals", 24, 44]
"Jayden"	["Cardinals", 23, 42]
"Jaydon"	["Red Sox", 40, 25]
"Jayla"	["Red Sox", 42, 30]
"Jaylah"	["Cardinals", 29, 53]
"Jaylee"	["Cardinals", 35, 58]
"Jayleen"	["Cardinals", 23, 36]
"Jaylen"	["Cardinals", 21, 46]
"Jaylene"	["Red Sox", 49, 33]
"Jaylin"	["Red Sox", 45, 22]
"Jaylon"	["Red Sox", 59, 25]
"Jaylynn"	["Cardinals", 30, 39]
"Jayson"	["Cardinals", 26, 60]
"Jazlyn"	["Cardinals", 29, 55]
"Jazlynn"	["Cardinals", 28, 53]
"Jazmin"	["Red Sox", 41, 25]
"Jazmine"	["Cardinals", 32, 40]
"Jazzlyn"	["Cardinals", 19, 44]
"Jedidiah"	["Cardinals", 35, 39]
"Jefferson"	["Red Sox", 57, 23]
"Jeffery"	["Red Sox", 55, 25]
"Jeffrey"	["Red Sox", 41, 26]
"Jemma"	["Red Sox", 53, 26]
"Jenna"	["Red Sox", 53, 28]
"Jennifer"	["Red Sox", 39, 25]
"Jenny"	["Red Sox", 55, 30]
"Jensen"	["Cardinals", 19, 51]
"Jeremiah"	["Red Sox", 45, 30]
"Jeremy"	["Red Sox", 44, 25]
"Jermaine"	["Cardinals", 29, 58]
"Jerome"	["Red Sox", 55, 27]
"Jerry"	["Red Sox", 51, 30]
"Jessa"	["Red Sox", 52, 23]
"Jesse"	["Cardinals", 35, 62]
"Jessica"	["Cardinals", 41, 44]
"Jessie"	["Cardinals", 20, 45]
"Jesus"	["Red Sox", 50, 31]
"Jett"	["Cardinals", 34, 40]
"Jewel"	["Red Sox", 47, 32]
"Jillian"	["Red Sox", 49, 20]
"Jimena"	["Cardinals", 28, 45]
"Jimmy"	["Red Sox", 56, 34]
"Jionni"	["Red Sox", 52, 32]
"Joanna"	["Cardinals", 19, 46]
"Joaquin"	["Cardinals", 31, 45]
"Jocelyn"	["Red Sox", 53, 33]
"Jocelynn"	["Cardinals", 23, 46]
"Joe"	["Cardinals", 29, 54]
"Joel"	["Red Sox", 59, 35]
"Joey"	["Cardinals", 29, 49]
"Johan"	["Cardinals", 34, 57]
"Johann"	["Red Sox", 42, 27]
"Johanna"	["Red Sox", 56, 26]
"John"	["Cardinals", 40, 49]
"Johnathan"	["Red Sox", 51, 21]
"Johnathon"	["Cardinals", 34, 40]
"Johnny"	["Cardinals", 30, 45]
"Jolene"	["Red Sox", 60, 29]
"Jolie"	["Cardinals", 34, 54]
"Jon"	["Cardinals", 30, 52]
"Jonah"	["Cardinals", 30, 53]
"Jonas"	["Cardinals", 36, 38]
"Jonathan"	["Cardinals", 31, 44]
"Jonathon"	["Cardinals", 35, 47]
"Jordan"	["Cardinals", 25, 38]
"Jorden"	["Red Sox", 63, 37]
"Jordyn"	["Cardinals", 31, 54]
"Jordynn"	["Cardinals", 32, 39]
"Jorge"	["Red Sox", 53, 28]
"Jose"	["Red Sox", 40, 24]
"Joselyn"	["Red Sox", 38, 32]
"Joseph"	["Cardinals", 28, 46]
"Josephine"	["Cardinals", 31, 51]
"Joshua"	["Cardinals", 37, 46]
"Josiah"	["Cardinals", 31, 55]
"Josie"	["Cardinals", 30, 40]
"Joslyn"	["Red Sox", 44, 28]
"Josue"	["Cardinals", 36, 56]
"Journee"	["Cardinals", 34, 43]
"Journey"	["Red Sox", 64, 30]
"Jovani"	["Cardinals", 28, 46]
"Jovanni"	["Cardinals", 29, 52]
"Joy"	["Red Sox", 43, 32]
"Joyce"	["Cardinals", 21, 55]
"Joziah"	["Red Sox", 41, 25]
"Juan"	["Cardinals", 28, 44]
"Judah"	["Cardinals", 18, 57]
"Jude"	["Red Sox", 49, 24]
"Judith"	["Red Sox", 49, 27]
"Juelz"	["Cardinals", 27, 46]
"Julia"	["Cardinals", 29, 45]
"Julian"	["Red Sox", 55, 32]
"Juliana"	["Red Sox", 54, 30]
"Julianna"	["Cardinals", 25, 51]
"Julianne"	["Red Sox", 46, 34]
"Julie"	["Red Sox", 51, 32]
"Julien"	["Red Sox", 50, 34]
"Juliet"	["Red Sox", 51, 27]
"Juliette"	["Red Sox", 56, 28]
"Julio"	["Cardinals", 32, 53]
"Julissa"	["Cardinals", 24, 55]
"Julius"	["Red Sox", 62, 31]
"June"	["Red Sox", 46, 17]
"Junior"	["Cardinals", 32, 37]
"Juniper"	["Red Sox", 37, 25]
"Justice"	["Red Sox", 51, 28]
"Justin"	["Red Sox", 45, 26]
"Justus"	["Cardinals", 19, 58]
"Kade"	["Cardinals", 26, 47]
"Kaden"	["Cardinals", 29, 50]
"Kadence"	["Cardinals", 28, 46]
"Kaeden"	["Cardinals", 40, 51]
"Kael"	["Cardinals", 23, 51]
"Kaelyn"	["Cardinals", 30, 41]
"Kaelynn"	["Red Sox", 37, 25]
"Kai"	["Cardinals", 30, 59]
"Kaia"	["Red Sox", 59, 32]
"Kaiden"	["Cardinals", 28, 52]
"Kailee"	["Red Sox", 48, 25]
"Kailey"	["Red Sox", 48, 24]
"Kailyn"	["Cardinals", 33, 56]
"Kailynn"	["Red Sox", 46, 24]
"Kairi"	["Cardinals", 33, 46]
"Kaitlin"	["Cardinals", 23, 49]
"Kaitlyn"	["Cardinals", 31, 50]
"Kaitlynn"	["Red Sox", 57, 29]
"Kaiya"	["Red Sox", 54, 24]
"Kale"	["Red Sox", 60, 30]
"Kaleb"	["Red Sox", 48, 20]
"Kaleigh"	["Red Sox", 46, 29]
"Kali"	["Red Sox", 50, 36]
"Kaliyah"	["Cardinals", 28, 49]
"Kallie"	["Red Sox", 52, 33]
"Kamari"	["Cardinals", 33, 56]
"Kamden"	["Red Sox", 54, 29]
"Kameron"	["Cardinals", 34, 53]
"Kamila"	["Red Sox", 47, 33]
"Kamron"	["Cardinals", 32, 42]
"Kamryn"	["Red Sox", 44, 22]
"Kane"	["Red Sox", 54, 39]
"Kara"	["Cardinals", 29, 49]
"Kareem"	["Red Sox", 59, 32]
"Karen"	["Cardinals", 34, 49]
"Karina"	["Red Sox", 53, 21]
"Karis"	["Red Sox", 34, 21]
"Karissa"	["Red Sox", 53, 42]
"Karla"	["Cardinals", 40, 52]
"Karlee"	["Cardinals", 26, 47]
"Karlie"	["Cardinals", 34, 49]
"Karma"	["Red Sox", 44, 26]
"Karsen"	["Cardinals", 31, 42]
"Karson"	["Red Sox", 45, 31]
"Karsyn"	["Cardinals", 31, 41]
"Karter"	["Red Sox", 54, 38]
"Kase"	["Red Sox", 51, 34]
"Kasen"	["Red Sox", 49, 23]
"Kasey"	["Cardinals", 33, 49]
"Kash"	["Cardinals", 36, 46]
"Kason"	["Red Sox", 62, 25]
"Kassandra"	["Cardinals", 30, 50]
"Kassidy"	["Red Sox", 48, 33]
"Katalina"	["Red Sox", 62, 35]
"Kate"	["Red Sox", 57, 23]
"Katelyn"	["Cardinals", 25, 50]
"Katelynn"	["Red Sox", 56, 24]
"Katherine"	["Cardinals", 28, 41]
"Kathleen"	["Cardinals", 20, 39]
"Kathryn"	["Red Sox", 53, 23]
"Katie"	["Red Sox", 44, 30]
"Katrina"	["Red Sox", 40, 32]
"Kaya"	["Cardinals", 28, 48]
"Kayden"	["Cardinals", 42, 40]
"Kaydence"	["Cardinals", 29, 42]
"Kayla"	["Red Sox", 61, 31]
"Kaylee"	["Red Sox", 46, 40]
"Kayleigh"	["Cardinals", 31, 41]
"Kaylen"	["Cardinals", 30, 44]
"Kaylie"	["Cardinals", 25, 57]
"Kaylin"	["Red Sox", 57, 36]
"Kaylyn"	["Cardinals", 36, 50]
"Kaylynn"	["Cardinals", 37, 56]
"Kaysen"	["Cardinals", 30, 44]
"Kayson"	["Cardinals", 28, 47]
"Keagan"	["Red Sox", 60, 29]
"Keaton"	["Red Sox", 54, 38]
"Keegan"	["Cardinals", 31, 52]
"Keenan"	["Cardinals", 29, 51]
"Keira"	["Red Sox", 62, 28]
"Keith"	["Red Sox", 46, 32]
"Kellan"	["Red Sox", 50, 29]
"Kellen"	["Cardinals", 28, 62]
"Kelly"	["Cardinals", 34, 39]
"Kelsey"	["Red Sox", 55, 37]
"Kelvin"	["Cardinals", 33, 60]
"Kendal"	["Cardinals", 28, 42]
"Kendall"	["Red Sox", 53, 35]
"Kendra"	["Red Sox", 47, 30]
"Kendrick"	["Cardinals", 45, 48]
"Kendyl"	["Cardinals", 31, 49]
"Kenia"	["Cardinals", 36, 52]
"Kenley"	["Cardinals", 25, 45]
"Kenna"	["Cardinals", 23, 50]
"Kennedi"	["Red Sox", 54, 22]
"Kennedy"	["Cardinals", 35, 59]
"Kenneth"	["Red Sox", 59, 24]
"Kenny"	["Red Sox", 50, 22]
"Kensley"	["Red Sox", 58, 30]
"Kenya"	["Red Sox", 63, 32]
"Kenzie"	["Cardinals", 21, 58]
"Kevin"	["Cardinals", 30, 47]
"Keyla"	["Cardinals", 31, 45]
"Khalil"	["Cardinals", 26, 50]
"Khloe"	["Red Sox", 53, 28]
"Kian"	["Cardinals", 40, 51]
"Kiana"	["Cardinals", 27, 45]
"Kiara"	["Cardinals", 23, 58]
"Kiera"	["Red Sox", 55, 22]
"Kieran"	["Red Sox", 53, 31]
"Kiley"	["Red Sox", 37, 27]
"Killian"	["Red Sox", 51, 26]
"Kimber"	["Red Sox", 46, 28]
"Kimberly"	["Red Sox", 54, 32]
"Kimora"	["Red Sox", 36, 33]
"King"	["Red Sox", 48, 29]
"Kingsley"	["Red Sox", 41, 22]
"Kingston"	["Cardinals", 33, 43]
"Kinley"	["Red Sox", 54, 34]
"Kinsley"	["Red Sox", 52, 27]
"Kira"	["Cardinals", 35, 38]
"Kirsten"	["Red Sox", 50, 24]
"Knox"	["Red Sox", 38, 26]
"Kobe"	["Red Sox", 51, 18]
"Kody"	["Cardinals", 26, 45]
"Kohen"	["Cardinals", 30, 47]
"Kolby"	["Cardinals", 34, 43]
"Kole"	["Red Sox", 51, 28]
"Kolten"	["Cardinals", 37, 43]
"Kolton"	["Red Sox", 60, 37]
"Konner"	["Red Sox", 39, 21]
"Konnor"	["Cardinals", 26, 46]
"Kora"	["Red Sox", 49, 32]
"Korbin"	["Red Sox", 49, 32]
"Kourtney"	["Red Sox", 39, 24]
"Krish"	["Cardinals", 35, 39]
"Kristen"	["Red Sox", 45, 27]
"Kristian"	["Red Sox", 58, 30]
"Kristina"	["Red Sox", 45, 28]
"Kristopher"	["Cardinals", 25, 52]
"Krystal"	["Red Sox", 57, 33]
"Kyla"	["Red Sox", 52, 30]
"Kylah"	["Red Sox", 50, 26]
"Kylan"	["Red Sox", 37, 33]
"Kyle"	["Red Sox", 41, 37]
"Kylee"	["Cardinals", 34, 52]
"Kyleigh"	["Cardinals", 30, 55]
"Kylen"	["Cardinals", 25, 42]
"Kyler"	["Cardinals", 29, 48]
"Kylie"	["Cardinals", 39, 56]
"Kymani"	["Cardinals", 26, 60]
"Kyndal"	["Red Sox", 41, 30]
"Kyndall"	["Red Sox", 38, 30]
"Kynlee"	["Red Sox", 43, 28]
"Kyra"	["Cardinals", 35, 52]
"Kyree"	["Red Sox", 54, 31]
"Kyrie"	["Red Sox", 46, 31]
"Kyson"	["Cardinals", 19, 38]
"Lacey"	["Cardinals", 18, 49]
"Laila"	["Cardinals", 34, 52]
"Lailah"	["Cardinals", 33, 47]
"Lainey"	["Red Sox", 50, 44]
"Lamar"	["Cardinals", 23, 46]
"Lana"	["Cardinals", 23, 41]
"Lance"	["Red Sox", 50, 37]
"Landen"	["Red Sox", 54, 29]
"Landon"	["Cardinals", 23, 47]
"Landry"	["Red Sox", 56, 32]
"Landyn"	["Cardinals", 27, 49]
"Lane"	["Cardinals", 19, 47]
"Laney"	["Cardinals", 28, 62]
"Lara"	["Red Sox", 49, 29]
"Larissa"	["Red Sox", 51, 27]
"Larry"	["Cardinals", 27, 57]
"Laura"	["Red Sox", 57, 40]
"Laurel"	["Cardinals", 20, 40]
"Lauren"	["Cardinals", 18, 50]
"Lauryn"	["Red Sox", 52, 32]
"Lawrence"	["Red Sox", 37, 40]
"Lawson"	["Red Sox", 63, 26]
"Layla"	["Cardinals", 37, 47]
"Laylah"	["Red Sox", 60, 26]
"Layne"	["Red Sox", 64, 30]
"Layton"	["Red Sox", 52, 24]
"Lea"	["Red Sox", 62, 28]
"Leah"	["Cardinals", 21, 34]
"Leandro"	["Cardinals", 31, 56]
"Leanna"	["Cardinals", 40, 56]
"Lee"	["Cardinals", 28, 42]
"Legend"	["Red Sox", 37, 33]
"Leia"	["Red Sox", 50, 31]
"Leighton"	["Cardinals", 29, 50]
"Leila"	["Red Sox", 46, 32]
"Leilani"	["Cardinals", 34, 52]
"Leland"	["Red Sox", 51, 21]
"Lena"	["Cardinals", 20, 49]
"Lennon"	["Red Sox", 45, 29]
"Lennox"	["Cardinals", 21, 49]
"Leo"	["Cardinals", 32, 32]
"Leon"	["Red Sox", 50, 28]
"Leona"	["Cardinals", 36, 46]
"Leonard"	["Cardinals", 32, 49]
"Leonardo"	["Cardinals", 29, 55]
"Leonel"	["Cardinals", 26, 36]
"Leonidas"	["Cardinals", 33, 54]
"Leroy"	["Red Sox", 57, 31]
"Leslie"	["Cardinals", 30, 45]
"Lesly"	["Red Sox", 40, 37]
"Levi"	["Red Sox", 61, 31]
"Lewis"	["Red Sox", 45, 36]
"Lexi"	["Cardinals", 23, 42]
"Lexie"	["Red Sox", 44, 27]
"Leyla"	["Cardinals", 26, 42]
"Lia"	["Red Sox", 49, 29]
"Liam"	["Cardinals", 30, 44]
"Liana"	["Red Sox", 48, 34]
"Libby"	["Red Sox", 53, 28]
"Liberty"	["Cardinals", 21, 55]
"Lila"	["Cardinals", 31, 44]
"Lilah"	["Cardinals", 34, 43]
"Lilia"	["Red Sox", 60, 36]
"Lilian"	["Red Sox", 43, 27]
"Liliana"	["Red Sox", 55, 42]
"Lilianna"	["Red Sox", 56, 24]
"Lilith"	["Red Sox", 45, 15]
"Lillian"	["Cardinals", 24, 51]
"Lilliana"	["Cardinals", 30, 46]
"Lillianna"	["Cardinals", 33, 56]
"Lillie"	["Cardinals", 23, 37]
"Lilly"	["Cardinals", 29, 45]
"Lillyana"	["Red Sox", 45, 30]
"Lily"	["Cardinals", 33, 48]
"Lilyana"	["Red Sox", 44, 32]
"Lilyanna"	["Cardinals", 30, 56]
"Lina"	["Red Sox", 46, 29]
"Lincoln"	["Cardinals", 24, 48]
"Linda"	["Cardinals", 32, 48]
"Lindsay"	["Cardinals", 34, 39]
"Lindsey"	["Cardinals", 36, 51]
"Lionel"	["Red Sox", 37, 21]
"Lisa"	["Cardinals", 39, 44]
"Litzy"	["Cardinals", 35, 51]
"Livia"	["Red Sox", 52, 36]
"Lizbeth"	["Cardinals", 24, 54]
"Logan"	["Red Sox", 50, 40]
"Lola"	["Cardinals", 35, 55]
"London"	["Red Sox", 39, 26]
"Londyn"	["Red Sox", 50, 33]
"Lorelai"	["Red Sox", 42, 27]
"Lorelei"	["Red Sox", 48, 32]
"Lorenzo"	["Red Sox", 42, 37]
"Louis"	["Red Sox", 51, 22]
"Luca"	["Red Sox", 42, 41]
"Lucas"	["Cardinals", 22, 46]
"Lucca"	["Cardinals", 27, 49]
"Lucia"	["Red Sox", 43, 36]
"Lucian"	["Red Sox", 55, 27]
"Luciana"	["Cardinals", 34, 41]
"Luciano"	["Red Sox", 48, 22]
"Lucille"	["Cardinals", 29, 59]
"Lucy"	["Red Sox", 57, 23]
"Luis"	["Cardinals", 34, 43]
"Luka"	["Cardinals", 25, 45]
"Lukas"	["Red Sox", 53, 23]
"Luke"	["Red Sox", 48, 23]
"Luna"	["Red Sox", 41, 28]
"Luz"	["Cardinals", 26, 36]
"Lydia"	["Cardinals", 33, 42]
"Lyla"	["Cardinals", 20, 52]
"Lylah"	["Red Sox", 51, 26]
"Lyric"	["Cardinals", 38, 47]
"Macey"	["Cardinals", 30, 51]
"Maci"	["Cardinals", 28, 59]
"Macie"	["Red Sox", 48, 25]
"Mack"	["Cardinals", 37, 54]
"Mackenzie"	["Cardinals", 34, 38]
"Macy"	["Red Sox", 48, 31]
"Madalyn"	["Cardinals", 37, 53]
"Madalynn"	["Cardinals", 23, 43]
"Madden"	["Red Sox", 36, 33]
"Maddison"	["Cardinals", 35, 53]
"Maddox"	["Cardinals", 43, 56]
"Madeleine"	["Red Sox", 60, 29]
"Madeline"	["Cardinals", 31, 45]
"Madelyn"	["Red Sox", 46, 30]
